stage,category,experiment_name,role,metrics_path,pixel_precision,pixel_recall,pixel_f1,best_pixel_f1,image_f1,train_samples,synthetic_train_samples,good_negative_samples,note
stage5,tile,tile stage5 combined,baseline,outputs/training/unet_segmentation/tile/combined/metrics.json,0.786187,0.827576,0.806351,0.818423,0.861538,40,,0,Small-sample combined traditional + diffusion baseline.
stage6,tile,tile stage6 expanded combined,diagnostic_baseline,outputs/training/unet_segmentation_expanded/tile/combined/metrics.json,0.891269,0.672754,0.766747,0.783566,0.871508,150,,0,Expanded generation exposed gray_stroke failure.
stage6,tile,tile stage6 gray_stroke fixed,overall_best,outputs/training/unet_segmentation_gray_stroke_fix/tile/combined/metrics.json,0.936252,0.7906,0.857284,0.871878,0.949153,150,,0,Tile overall recommended model after gray_stroke distribution repair.
stage7,tile,tile stage7 crack fixed,class_specialist,outputs/training/unet_segmentation_stage7/tile/combined/metrics.json,0.946168,0.760627,0.843313,0.866827,0.971098,150,,0,Tile crack specialist; crack improves with a small overall tradeoff.
stage8,wood,wood stage8 generalization,generalization_baseline,outputs/training/unet_segmentation_stage8_wood/wood/combined/metrics.json,0.636696,0.167419,0.265124,0.290149,0.894737,144,,0,First wood run; pipeline transferred but scratch failed.
stage9,wood,wood stage9 scratch fixed,overall_best,outputs/training/unet_segmentation_stage9_wood_scratch_fix/wood/combined/metrics.json,0.254602,0.497642,0.33686,0.381457,0.902256,148,,0,Wood overall recommended model after scratch distribution repair.
stage10,leather,leather stage10 generalization,generalization_baseline,outputs/training/unet_segmentation_stage10_leather/leather/combined/metrics.json,0.030538,0.548827,0.057856,0.144379,0.851852,135,,0,Third-category pipeline worked but severely over-segmented.
stage11,leather,leather stage11 precision cut fixed,overall_best,outputs/training/unet_segmentation_stage11_leather_precision_cut_fix/leather/combined/metrics.json,0.875158,0.328184,0.477359,0.521913,0.966667,240,140,100,Leather overall recommended model after good negatives and cut repair.
stage12,leather,leather stage12 fold fixed,diagnostic_tradeoff,outputs/training/unet_segmentation_stage12_leather_fold_fix/leather/combined/metrics.json,0.200408,0.677091,0.309275,0.401059,0.973545,350,150,200,Fold recall specialist; improves fold but sacrifices overall precision.
